,orig.ident,nCount_RNA,nFeature_RNA,cell_type,plate,batch,tech,celltype
CD141_P3_S18,CD141,17609.7094320187,4920,CD141,P3,batch2,batch2,CD141
CD141_P3_S19,CD141,15807.1537345827,4538,CD141,P3,batch2,batch2,CD141
CD141_P3_S1,CD141,15556.5853787064,4990,CD141,P3,batch2,batch2,CD141
CD141_P3_S20,CD141,14762.6667260301,4293,CD141,P3,batch2,batch2,CD141
CD141_P3_S21,CD141,15832.302972606,4745,CD141,P3,batch2,batch2,CD141
CD141_P3_S22,CD141,13974.3908954768,4045,CD141,P3,batch2,batch2,CD141
CD141_P3_S23,CD141,14446.9032660209,4442,CD141,P3,batch2,batch2,CD141
CD141_P3_S24,CD141,14975.1012165161,4542,CD141,P3,batch2,batch2,CD141
CD141_P3_S2,CD141,15346.8185717812,4810,CD141,P3,batch2,batch2,CD141
CD141_P3_S3,CD141,15997.1044500145,5136,CD141,P3,batch2,batch2,CD141
CD141_P3_S4,CD141,16433.7603181488,5364,CD141,P3,batch2,batch2,CD141
CD141_P3_S5,CD141,15439.0236135711,4867,CD141,P3,batch2,batch2,CD141
CD141_P3_S6,CD141,15746.8981886059,5015,CD141,P3,batch2,batch2,CD141
CD141_P3_S7,CD141,15525.6243190935,5138,CD141,P3,batch2,batch2,CD141
CD141_P3_S8,CD141,15564.7881871906,5349,CD141,P3,batch2,batch2,CD141
CD141_P3_S9,CD141,14578.2625427673,5141,CD141,P3,batch2,batch2,CD141
CD141_P4_S25,CD141,13470.7682301116,3968,CD141,P4,batch2,batch2,CD141
CD141_P4_S26,CD141,16477.8754441588,5455,CD141,P4,batch2,batch2,CD141
CD141_P4_S27,CD141,15596.4508676502,5194,CD141,P4,batch2,batch2,CD141
CD141_P4_S28,CD141,15587.2377586664,5018,CD141,P4,batch2,batch2,CD141
CD141_P4_S29,CD141,15441.6964667047,5282,CD141,P4,batch2,batch2,CD141
CD141_P4_S30,CD141,15713.6989851662,5205,CD141,P4,batch2,batch2,CD141
CD141_P4_S31,CD141,15977.8096829847,5086,CD141,P4,batch2,batch2,CD141
CD141_P4_S32,CD141,16483.6896826758,5271,CD141,P4,batch2,batch2,CD141
CD141_P4_S33,CD141,15708.435456875,5344,CD141,P4,batch2,batch2,CD141
CD141_P4_S34,CD141,15674.1309286055,4827,CD141,P4,batch2,batch2,CD141
CD141_P4_S35,CD141,17953.9287573435,5880,CD141,P4,batch2,batch2,CD141
CD141_P4_S36,CD141,15146.4857020016,4962,CD141,P4,batch2,batch2,CD141
CD141_P4_S37,CD141,15455.0797967431,4485,CD141,P4,batch2,batch2,CD141
CD141_P4_S38,CD141,15557.3954288246,4678,CD141,P4,batch2,batch2,CD141
CD141_P4_S39,CD141,16063.9431895524,5090,CD141,P4,batch2,batch2,CD141
CD141_P4_S40,CD141,16019.7286779804,5303,CD141,P4,batch2,batch2,CD141
CD141_P4_S41,CD141,16300.5697855447,5164,CD141,P4,batch2,batch2,CD141
CD141_P4_S42,CD141,15466.0430247397,4847,CD141,P4,batch2,batch2,CD141
CD141_P4_S43,CD141,15738.7873113896,5163,CD141,P4,batch2,batch2,CD141
CD141_P4_S44,CD141,14818.30601666,4785,CD141,P4,batch2,batch2,CD141
CD141_P4_S45,CD141,16324.2871988915,5237,CD141,P4,batch2,batch2,CD141
CD141_P4_S46,CD141,15210.8391213363,4772,CD141,P4,batch2,batch2,CD141
CD141_P4_S47,CD141,15397.6225388129,4785,CD141,P4,batch2,batch2,CD141
CD141_P4_S48,CD141,14410.2524740832,4548,CD141,P4,batch2,batch2,CD141
CD141_P7_S10,CD141,19507.9993274815,6440,CD141,P7,batch1,batch1,CD141
CD141_P7_S11,CD141,17741.0071330286,5597,CD141,P7,batch1,batch1,CD141
CD141_P7_S12,CD141,19397.5665422522,6813,CD141,P7,batch1,batch1,CD141
CD141_P7_S13,CD141,19109.1977271101,5863,CD141,P7,batch1,batch1,CD141
CD141_P7_S14,CD141,18952.834252895,6400,CD141,P7,batch1,batch1,CD141
CD141_P7_S15,CD141,19106.8687752553,6965,CD141,P7,batch1,batch1,CD141
CD141_P7_S16,CD141,19398.2309736016,6942,CD141,P7,batch1,batch1,CD141
CD141_P7_S17,CD141,25694.3110747058,10532,CD141,P7,batch1,batch1,CD141
CD141_P7_S18,CD141,21346.4715991087,7178,CD141,P7,batch1,batch1,CD141
CD141_P7_S19,CD141,18744.6462434277,6186,CD141,P7,batch1,batch1,CD141
CD141_P7_S1,CD141,18954.5534579145,5816,CD141,P7,batch1,batch1,CD141
CD141_P7_S20,CD141,17947.0142812925,6289,CD141,P7,batch1,batch1,CD141
CD141_P7_S21,CD141,19561.3857113614,7389,CD141,P7,batch1,batch1,CD141
CD141_P7_S22,CD141,20570.8463858732,6789,CD141,P7,batch1,batch1,CD141
CD141_P7_S23,CD141,19201.9353563172,6915,CD141,P7,batch1,batch1,CD141
CD141_P7_S24,CD141,17718.2428392994,7185,CD141,P7,batch1,batch1,CD141
CD141_P7_S2,CD141,17960.3994489422,6674,CD141,P7,batch1,batch1,CD141
CD141_P7_S3,CD141,19189.2567858329,6686,CD141,P7,batch1,batch1,CD141
CD141_P7_S4,CD141,19364.671762382,6797,CD141,P7,batch1,batch1,CD141
CD141_P7_S5,CD141,22983.7972980868,8404,CD141,P7,batch1,batch1,CD141
CD141_P7_S6,CD141,19611.2468292093,6942,CD141,P7,batch1,batch1,CD141
CD141_P7_S7,CD141,20871.2378660263,7020,CD141,P7,batch1,batch1,CD141
CD141_P7_S8,CD141,21568.913768145,7239,CD141,P7,batch1,batch1,CD141
CD141_P7_S9,CD141,20184.4808724276,6421,CD141,P7,batch1,batch1,CD141
CD141_P8_S25,CD141,18157.9923409837,5668,CD141,P8,batch1,batch1,CD141
CD141_P8_S26,CD141,18023.0127985152,5443,CD141,P8,batch1,batch1,CD141
CD141_P8_S27,CD141,18204.9455735324,5537,CD141,P8,batch1,batch1,CD141
CD141_P8_S28,CD141,17904.8659939128,6853,CD141,P8,batch1,batch1,CD141
CD141_P8_S30,CD141,21009.2016486132,6873,CD141,P8,batch1,batch1,CD141
CD141_P8_S31,CD141,19049.0183888526,6672,CD141,P8,batch1,batch1,CD141
CD141_P8_S32,CD141,18254.9013104211,5257,CD141,P8,batch1,batch1,CD141
CD141_P8_S33,CD141,16902.5539837897,4699,CD141,P8,batch1,batch1,CD141
CD141_P8_S34,CD141,17303.8144011224,5532,CD141,P8,batch1,batch1,CD141
CD141_P8_S35,CD141,18244.6715715907,5819,CD141,P8,batch1,batch1,CD141
CD141_P8_S36,CD141,17626.7886748301,5563,CD141,P8,batch1,batch1,CD141
CD141_P8_S37,CD141,21375.9380766573,6689,CD141,P8,batch1,batch1,CD141
CD141_P8_S38,CD141,19726.4587457062,5969,CD141,P8,batch1,batch1,CD141
CD141_P8_S39,CD141,18207.5651600505,5427,CD141,P8,batch1,batch1,CD141
CD141_P8_S40,CD141,18424.7131812623,5104,CD141,P8,batch1,batch1,CD141
CD141_P8_S42,CD141,18630.6690205151,5561,CD141,P8,batch1,batch1,CD141
CD141_P8_S43,CD141,17845.5315094166,5480,CD141,P8,batch1,batch1,CD141
CD141_P8_S44,CD141,18528.2559330316,5530,CD141,P8,batch1,batch1,CD141
CD141_P8_S45,CD141,20939.8455632718,6182,CD141,P8,batch1,batch1,CD141
CD141_P8_S46,CD141,18915.2148785316,6372,CD141,P8,batch1,batch1,CD141
CD141_P8_S47,CD141,17734.8169430444,5669,CD141,P8,batch1,batch1,CD141
CD141_P8_S48,CD141,17782.3451569281,4968,CD141,P8,batch1,batch1,CD141
CD141_P9_S49,CD141,18475.2464560433,6794,CD141,P9,batch1,batch1,CD141
CD141_P9_S50,CD141,17371.4900501573,6521,CD141,P9,batch1,batch1,CD141
CD141_P9_S51,CD141,17672.7119995865,6351,CD141,P9,batch1,batch1,CD141
CD141_P9_S52,CD141,16529.8283678266,6124,CD141,P9,batch1,batch1,CD141
CD141_P9_S53,CD141,17257.2731357179,6136,CD141,P9,batch1,batch1,CD141
CD141_P9_S54,CD141,17912.2618592008,5746,CD141,P9,batch1,batch1,CD141
CD141_P9_S55,CD141,17368.992880807,5954,CD141,P9,batch1,batch1,CD141
CD141_P9_S56,CD141,16460.2218339075,5156,CD141,P9,batch1,batch1,CD141
CD141_P9_S57,CD141,16957.7923559388,6272,CD141,P9,batch1,batch1,CD141
CD141_P9_S58,CD141,17226.8220280357,6076,CD141,P9,batch1,batch1,CD141
CD141_P9_S59,CD141,17822.1079803813,6461,CD141,P9,batch1,batch1,CD141
CD141_P9_S61,CD141,17316.1134117094,6440,CD141,P9,batch1,batch1,CD141
CD141_P9_S62,CD141,17535.2898763194,6371,CD141,P9,batch1,batch1,CD141
CD141_P9_S63,CD141,17683.9360263793,6789,CD141,P9,batch1,batch1,CD141
CD141_P9_S64,CD141,16472.1986310434,6474,CD141,P9,batch1,batch1,CD141
CD141_P9_S65,CD141,16612.5460366928,6466,CD141,P9,batch1,batch1,CD141
CD141_P9_S66,CD141,12248.0326878189,2618,CD141,P9,batch1,batch1,CD141
CD141_P9_S67,CD141,17192.3372245143,6077,CD141,P9,batch1,batch1,CD141
CD141_P9_S68,CD141,17179.0814554226,5904,CD141,P9,batch1,batch1,CD141
CD141_P9_S69,CD141,18106.708707506,6267,CD141,P9,batch1,batch1,CD141
CD141_P9_S70,CD141,17362.5573777979,6336,CD141,P9,batch1,batch1,CD141
CD141_P9_S71,CD141,16252.3567706082,5624,CD141,P9,batch1,batch1,CD141
CD141_P9_S72,CD141,14698.5501741824,5392,CD141,P9,batch1,batch1,CD141
pDC_P10_S73,pDC,19432.9106994114,6952,pDC,P10,batch1,batch1,pDC
pDC_P10_S74,pDC,17983.9952313034,6608,pDC,P10,batch1,batch1,pDC
pDC_P10_S75,pDC,17276.1936092465,6516,pDC,P10,batch1,batch1,pDC
pDC_P10_S76,pDC,18040.0926962457,6446,pDC,P10,batch1,batch1,pDC
pDC_P10_S77,pDC,18342.4392739785,6894,pDC,P10,batch1,batch1,pDC
pDC_P10_S78,pDC,17439.497092684,6202,pDC,P10,batch1,batch1,pDC
pDC_P10_S79,pDC,17426.7537514163,6467,pDC,P10,batch1,batch1,pDC
pDC_P10_S80,pDC,16717.3185584536,6460,pDC,P10,batch1,batch1,pDC
pDC_P10_S81,pDC,17550.4909261959,6560,pDC,P10,batch1,batch1,pDC
pDC_P10_S82,pDC,16943.9262291745,6326,pDC,P10,batch1,batch1,pDC
pDC_P10_S83,pDC,17019.9904396796,6495,pDC,P10,batch1,batch1,pDC
pDC_P10_S84,pDC,16085.2279408464,6181,pDC,P10,batch1,batch1,pDC
pDC_P10_S85,pDC,16986.0821108583,5261,pDC,P10,batch1,batch1,pDC
pDC_P10_S86,pDC,16796.0782349052,5589,pDC,P10,batch1,batch1,pDC
pDC_P10_S87,pDC,17752.1473271483,6465,pDC,P10,batch1,batch1,pDC
pDC_P10_S88,pDC,17738.9904919748,6739,pDC,P10,batch1,batch1,pDC
pDC_P10_S89,pDC,16678.1463569922,4951,pDC,P10,batch1,batch1,pDC
pDC_P10_S90,pDC,17903.3351537817,6004,pDC,P10,batch1,batch1,pDC
pDC_P10_S91,pDC,17708.0219597906,6274,pDC,P10,batch1,batch1,pDC
pDC_P10_S92,pDC,17109.3599828745,6652,pDC,P10,batch1,batch1,pDC
pDC_P10_S93,pDC,18383.3726021858,7159,pDC,P10,batch1,batch1,pDC
pDC_P10_S94,pDC,16647.9151083475,5737,pDC,P10,batch1,batch1,pDC
pDC_P10_S95,pDC,17403.6262869995,5934,pDC,P10,batch1,batch1,pDC
pDC_P10_S96,pDC,9387.89642235323,4334,pDC,P10,batch1,batch1,pDC
pDC_P13_S49,pDC,15756.3378579691,4801,pDC,P13,batch2,batch2,pDC
pDC_P13_S50,pDC,15019.0801764048,4631,pDC,P13,batch2,batch2,pDC
pDC_P13_S51,pDC,15811.5409040057,4766,pDC,P13,batch2,batch2,pDC
pDC_P13_S52,pDC,16153.037787784,4582,pDC,P13,batch2,batch2,pDC
pDC_P13_S53,pDC,16766.2729299787,5094,pDC,P13,batch2,batch2,pDC
pDC_P13_S54,pDC,14648.7792340914,3700,pDC,P13,batch2,batch2,pDC
pDC_P13_S55,pDC,14652.8094640443,4409,pDC,P13,batch2,batch2,pDC
pDC_P13_S56,pDC,13391.6730568651,4259,pDC,P13,batch2,batch2,pDC
pDC_P13_S57,pDC,12141.9158511049,4033,pDC,P13,batch2,batch2,pDC
pDC_P13_S58,pDC,15491.3790615065,4494,pDC,P13,batch2,batch2,pDC
pDC_P13_S59,pDC,16333.9576339011,5028,pDC,P13,batch2,batch2,pDC
pDC_P13_S60,pDC,14757.3754378305,4873,pDC,P13,batch2,batch2,pDC
pDC_P13_S61,pDC,14926.5623902613,4234,pDC,P13,batch2,batch2,pDC
pDC_P13_S62,pDC,14592.1063345109,4265,pDC,P13,batch2,batch2,pDC
pDC_P13_S63,pDC,16412.1690894209,4947,pDC,P13,batch2,batch2,pDC
pDC_P13_S64,pDC,15047.0793556838,4533,pDC,P13,batch2,batch2,pDC
pDC_P13_S65,pDC,15423.4930426872,4672,pDC,P13,batch2,batch2,pDC
pDC_P13_S66,pDC,13252.5397473349,3412,pDC,P13,batch2,batch2,pDC
pDC_P13_S67,pDC,13146.83541039,3929,pDC,P13,batch2,batch2,pDC
pDC_P13_S68,pDC,14785.020316508,4316,pDC,P13,batch2,batch2,pDC
pDC_P13_S69,pDC,15842.6948506465,4736,pDC,P13,batch2,batch2,pDC
pDC_P13_S70,pDC,14531.265259459,4467,pDC,P13,batch2,batch2,pDC
pDC_P13_S71,pDC,17655.7653280849,5618,pDC,P13,batch2,batch2,pDC
pDC_P13_S72,pDC,15588.4883433823,5085,pDC,P13,batch2,batch2,pDC
pDC_P14_S73,pDC,15919.2328319536,4566,pDC,P14,batch2,batch2,pDC
pDC_P14_S74,pDC,14951.2224514293,4356,pDC,P14,batch2,batch2,pDC
pDC_P14_S75,pDC,15978.4905293256,4893,pDC,P14,batch2,batch2,pDC
pDC_P14_S76,pDC,15461.6112876002,4463,pDC,P14,batch2,batch2,pDC
pDC_P14_S77,pDC,16179.4179817129,4673,pDC,P14,batch2,batch2,pDC
pDC_P14_S78,pDC,16037.4153975992,4779,pDC,P14,batch2,batch2,pDC
pDC_P14_S79,pDC,14850.0625599108,4305,pDC,P14,batch2,batch2,pDC
pDC_P14_S80,pDC,14926.8017198252,4116,pDC,P14,batch2,batch2,pDC
pDC_P14_S81,pDC,15691.0088014904,4609,pDC,P14,batch2,batch2,pDC
pDC_P14_S82,pDC,15301.0840537761,4318,pDC,P14,batch2,batch2,pDC
pDC_P14_S83,pDC,15624.0447428301,4756,pDC,P14,batch2,batch2,pDC
pDC_P14_S84,pDC,10032.6409042505,3091,pDC,P14,batch2,batch2,pDC
pDC_P14_S85,pDC,16645.33164316,4711,pDC,P14,batch2,batch2,pDC
pDC_P14_S86,pDC,16585.3056854812,4858,pDC,P14,batch2,batch2,pDC
pDC_P14_S87,pDC,16196.4103196191,4565,pDC,P14,batch2,batch2,pDC
pDC_P14_S88,pDC,15985.02042504,4316,pDC,P14,batch2,batch2,pDC
pDC_P14_S89,pDC,15653.741573407,4134,pDC,P14,batch2,batch2,pDC
pDC_P14_S90,pDC,16360.3898058745,4446,pDC,P14,batch2,batch2,pDC
pDC_P14_S91,pDC,14533.1269010197,3989,pDC,P14,batch2,batch2,pDC
pDC_P14_S92,pDC,15973.6586044555,4269,pDC,P14,batch2,batch2,pDC
pDC_P14_S93,pDC,15812.0722673481,4378,pDC,P14,batch2,batch2,pDC
pDC_P14_S94,pDC,14994.8813521485,4062,pDC,P14,batch2,batch2,pDC
pDC_P14_S95,pDC,15157.1693317031,4173,pDC,P14,batch2,batch2,pDC
pDC_P14_S96,pDC,15365.6262088271,4214,pDC,P14,batch2,batch2,pDC
pDC_P3_S10,pDC,13824.1852292501,3830,pDC,P3,batch2,batch2,pDC
pDC_P3_S11,pDC,13899.9795636955,3866,pDC,P3,batch2,batch2,pDC
pDC_P3_S12,pDC,14778.8671583854,4342,pDC,P3,batch2,batch2,pDC
pDC_P3_S13,pDC,14671.7558149437,3958,pDC,P3,batch2,batch2,pDC
pDC_P3_S14,pDC,14698.0500526737,3780,pDC,P3,batch2,batch2,pDC
pDC_P3_S15,pDC,15562.741749197,4244,pDC,P3,batch2,batch2,pDC
pDC_P3_S16,pDC,14276.3751223964,3859,pDC,P3,batch2,batch2,pDC
pDC_P3_S17,pDC,14654.7867980388,3877,pDC,P3,batch2,batch2,pDC
pDC_P3_S18,pDC,13613.6815990286,3461,pDC,P3,batch2,batch2,pDC
pDC_P3_S19,pDC,14746.9279053927,4046,pDC,P3,batch2,batch2,pDC
pDC_P3_S1,pDC,13463.6898809584,3542,pDC,P3,batch2,batch2,pDC
pDC_P3_S20,pDC,14203.9111456797,3913,pDC,P3,batch2,batch2,pDC
pDC_P3_S21,pDC,14140.9655550195,3779,pDC,P3,batch2,batch2,pDC
pDC_P3_S22,pDC,14862.9098034358,4018,pDC,P3,batch2,batch2,pDC
pDC_P3_S23,pDC,14266.4142044984,3938,pDC,P3,batch2,batch2,pDC
pDC_P3_S24,pDC,14391.8923533745,4329,pDC,P3,batch2,batch2,pDC
pDC_P3_S2,pDC,14584.0862781884,4075,pDC,P3,batch2,batch2,pDC
pDC_P3_S3,pDC,14968.8689128334,4306,pDC,P3,batch2,batch2,pDC
pDC_P3_S4,pDC,14640.3370433005,3888,pDC,P3,batch2,batch2,pDC
pDC_P3_S5,pDC,15238.7667293252,3974,pDC,P3,batch2,batch2,pDC
pDC_P3_S6,pDC,14061.4957649975,3651,pDC,P3,batch2,batch2,pDC
pDC_P3_S7,pDC,14040.3302960223,3899,pDC,P3,batch2,batch2,pDC
pDC_P3_S8,pDC,15201.8366594883,4162,pDC,P3,batch2,batch2,pDC
pDC_P3_S9,pDC,13643.8348428219,3801,pDC,P3,batch2,batch2,pDC
pDC_P4_S25,pDC,14300.6693999592,3945,pDC,P4,batch2,batch2,pDC
pDC_P4_S26,pDC,15491.2250050418,4415,pDC,P4,batch2,batch2,pDC
pDC_P4_S27,pDC,12177.4838661376,3078,pDC,P4,batch2,batch2,pDC
pDC_P4_S28,pDC,13703.2390037029,3965,pDC,P4,batch2,batch2,pDC
pDC_P4_S29,pDC,15140.7278382422,4223,pDC,P4,batch2,batch2,pDC
pDC_P4_S30,pDC,15646.8849347215,4558,pDC,P4,batch2,batch2,pDC
pDC_P4_S31,pDC,15410.8805363279,4350,pDC,P4,batch2,batch2,pDC
pDC_P4_S32,pDC,14995.8422025592,4249,pDC,P4,batch2,batch2,pDC
pDC_P4_S33,pDC,16226.071173619,4807,pDC,P4,batch2,batch2,pDC
pDC_P4_S34,pDC,14903.1813344907,4452,pDC,P4,batch2,batch2,pDC
pDC_P4_S35,pDC,14907.6515629195,4316,pDC,P4,batch2,batch2,pDC
pDC_P4_S36,pDC,15096.4557332551,4442,pDC,P4,batch2,batch2,pDC
pDC_P4_S37,pDC,10610.3062527801,3150,pDC,P4,batch2,batch2,pDC
pDC_P4_S38,pDC,15172.7544841963,4220,pDC,P4,batch2,batch2,pDC
pDC_P4_S39,pDC,12935.9490820245,3083,pDC,P4,batch2,batch2,pDC
pDC_P4_S40,pDC,16257.4058418818,4464,pDC,P4,batch2,batch2,pDC
pDC_P4_S41,pDC,15665.1480261573,4344,pDC,P4,batch2,batch2,pDC
pDC_P4_S42,pDC,15538.774495732,4365,pDC,P4,batch2,batch2,pDC
pDC_P4_S43,pDC,7389.12522542315,1926,pDC,P4,batch2,batch2,pDC
pDC_P4_S44,pDC,15631.0499411251,4377,pDC,P4,batch2,batch2,pDC
pDC_P4_S45,pDC,15232.2290564728,4340,pDC,P4,batch2,batch2,pDC
pDC_P4_S46,pDC,12885.5486866861,3804,pDC,P4,batch2,batch2,pDC
pDC_P4_S47,pDC,15128.989103793,4360,pDC,P4,batch2,batch2,pDC
pDC_P4_S48,pDC,14395.413983552,4206,pDC,P4,batch2,batch2,pDC
pDC_P7_S10,pDC,18961.2360343647,6221,pDC,P7,batch1,batch1,pDC
pDC_P7_S11,pDC,18374.2138300012,6134,pDC,P7,batch1,batch1,pDC
pDC_P7_S12,pDC,19543.0216604179,7272,pDC,P7,batch1,batch1,pDC
pDC_P7_S13,pDC,19057.7978567743,5405,pDC,P7,batch1,batch1,pDC
pDC_P7_S14,pDC,19911.9658845958,6950,pDC,P7,batch1,batch1,pDC
pDC_P7_S15,pDC,19367.7220111559,6809,pDC,P7,batch1,batch1,pDC
pDC_P7_S16,pDC,19013.6511350922,6860,pDC,P7,batch1,batch1,pDC
